fid,prow,pcol,grow,prow_pcol_grow,exp,plot.x,sub_plot,exp_plot_subplot,exp_plot,experiment,plot.y,oatName,peaName,pea_type,oat_percent,pea_percent
1,1,1,1,1_1_1,guard,OG_1,3,guard_OG_1_3,guardOG_1,guard,OG_1,Steuben,na,na,100,na
2,1,1,2,1_1_2,guard,OG_1,2,guard_OG_1_2,guardOG_1,guard,OG_1,Steuben,na,na,100,na
3,1,1,3,1_1_3,guard,OG_1,1,guard_OG_1_1,guardOG_1,guard,OG_1,Steuben,na,na,100,na
4,1,2,1,1_2_1,diversity,100,3,diversity_100_3,diversity100,diversity,100,ND170307,ND Victory,field,75,75
5,1,2,2,1_2_2,diversity,100,2,diversity_100_2,diversity100,diversity,100,ND170307,ND Victory,field,75,75
6,1,2,3,1_2_3,diversity,100,1,diversity_100_1,diversity100,diversity,100,ND170307,ND Victory,field,75,75
7,1,3,1,1_3_1,diversity,99,3,diversity_99_3,diversity99,diversity,99,DEON,AUSTRIAN FIELD PEAS,forage,75,75
8,1,3,2,1_3_2,diversity,99,2,diversity_99_2,diversity99,diversity,99,DEON,AUSTRIAN FIELD PEAS,forage,75,75
9,1,3,3,1_3_3,diversity,99,1,diversity_99_1,diversity99,diversity,99,DEON,AUSTRIAN FIELD PEAS,forage,75,75
10,1,4,1,1_4_1,diversity,98,3,diversity_98_3,diversity98,diversity,98,WI_X10642-3,delta field pea,field,75,75
11,1,4,2,1_4_2,diversity,98,2,diversity_98_2,diversity98,diversity,98,WI_X10642-3,delta field pea,field,75,75
12,1,4,3,1_4_3,diversity,98,1,diversity_98_1,diversity98,diversity,98,WI_X10642-3,delta field pea,field,75,75
13,1,5,1,1_5_1,diversity,97,3,diversity_97_3,diversity97,diversity,97,LEGGETT,delta field pea,field,75,75
14,1,5,2,1_5_2,diversity,97,2,diversity_97_2,diversity97,diversity,97,LEGGETT,delta field pea,field,75,75
15,1,5,3,1_5_3,diversity,97,1,diversity_97_1,diversity97,diversity,97,LEGGETT,delta field pea,field,75,75
16,1,6,1,1_6_1,diversity,96,3,diversity_96_3,diversity96,diversity,96,REINS,NDP140510Y,field,75,75
17,1,6,2,1_6_2,diversity,96,2,diversity_96_2,diversity96,diversity,96,REINS,NDP140510Y,field,75,75
18,1,6,3,1_6_3,diversity,96,1,diversity_96_1,diversity96,diversity,96,REINS,NDP140510Y,field,75,75
19,1,7,1,1_7_1,diversity,95,3,diversity_95_3,diversity95,diversity,95,SD191467,Frostmaster Peas,forage,75,75
20,1,7,2,1_7_2,diversity,95,2,diversity_95_2,diversity95,diversity,95,SD191467,Frostmaster Peas,forage,75,75
21,1,7,3,1_7_3,diversity,95,1,diversity_95_1,diversity95,diversity,95,SD191467,Frostmaster Peas,forage,75,75
22,1,8,1,1_8_1,diversity,94,3,diversity_94_3,diversity94,diversity,94,SPURS,delta field pea,field,75,75
23,1,8,2,1_8_2,diversity,94,2,diversity_94_2,diversity94,diversity,94,SPURS,delta field pea,field,75,75
24,1,8,3,1_8_3,diversity,94,1,diversity_94_1,diversity94,diversity,94,SPURS,delta field pea,field,75,75
25,1,9,1,1_9_1,diversity,93,3,diversity_93_3,diversity93,diversity,93,SD190850,NDP150412G,field,75,75
26,1,9,2,1_9_2,diversity,93,2,diversity_93_2,diversity93,diversity,93,SD190850,NDP150412G,field,75,75
27,1,9,3,1_9_3,diversity,93,1,diversity_93_1,diversity93,diversity,93,SD190850,NDP150412G,field,75,75
28,1,10,1,1_10_1,diversity,92,3,diversity_92_3,diversity92,diversity,92,GOLIATH,Icicle Winter Peas,forage,75,75
29,1,10,2,1_10_2,diversity,92,2,diversity_92_2,diversity92,diversity,92,GOLIATH,Icicle Winter Peas,forage,75,75
30,1,10,3,1_10_3,diversity,92,1,diversity_92_1,diversity92,diversity,92,GOLIATH,Icicle Winter Peas,forage,75,75
31,1,11,1,1_11_1,diversity,91,3,diversity_91_3,diversity91,diversity,91,OGLE,ND Dawn,field,75,75
32,1,11,2,1_11_2,diversity,91,2,diversity_91_2,diversity91,diversity,91,OGLE,ND Dawn,field,75,75
33,1,11,3,1_11_3,diversity,91,1,diversity_91_1,diversity91,diversity,91,OGLE,ND Dawn,field,75,75
34,1,12,1,1_12_1,diversity,90,3,diversity_90_3,diversity90,diversity,90,SD190992,NDP150231Y,field,75,75
35,1,12,2,1_12_2,diversity,90,2,diversity_90_2,diversity90,diversity,90,SD190992,NDP150231Y,field,75,75
36,1,12,3,1_12_3,diversity,90,1,diversity_90_1,diversity90,diversity,90,SD190992,NDP150231Y,field,75,75
37,1,13,1,1_13_1,diversity,89,3,diversity_89_3,diversity89,diversity,89,MN18015X_004,Maxum,forage,75,75
